SAMPLE	VENT	COORDINATES	SITE	SAMPLEID	DEPTH	SAMPLETYPE	YEAR	TEMP	pH	PercSeawater	Mg	H2	H2S	CH4	ProkConc	LONG	LAT
65_MCR_VonDamm_CTD_Plume_CTD003_0_Jun2021	Plume	18.377600, -81.799317	VonDamm	NA	1979	Plume	2020	4.208	NA	NA	NA	NA	NA	NA	16478.313	-81.7993	18.3776
66_MCR_VonDamm_HOG_ArrowLoop_J21243HOG18_5_Jun2021	ArrowLoop	18.376659, -81.797986	VonDamm	NA	2309	Vent	2020	137	5.69	33.8	18.1	11500	1.74	1893.66	10369.792	-81.798	18.3767
67_MCR_VonDamm_HOG_WhiteCastle_J21235HOG12_5_Jun2021	WhiteCastle	18.377005, -81.798088	VonDamm	NA	2307	Vent	2020	108	5.49	16.6	8.9	14500	1.96	2251.92	NA	-81.7981	18.377
69_MCR_VonDamm_HOG_MustardStand_J21243HOG14_5_Jun2021	MustardStand	18.375130, -81.797488	VonDamm	NA	2374	Vent	2020	108	5.63	36.2	19.4	9800	1.79	1819.9608	56677	-81.7975	18.3751
70_MCR_VonDamm_HOG_Rav2_J21238HOG14_5_Jun2021	Rav2	18.375112, -81.797180	VonDamm	NA	2389.6	Vent	2020	94	5.81	33.4	18	10200	1.37	1893.66	NA	-81.7972	18.3751
71_MCR_VonDamm_HOG_OldManTree_J21238HOG20_5_Jun2021	OldManTree	18.375069, -81.797678	VonDamm	NA	2375.8	Vent	2020	121.6	5.69	25.6	13.7	11600	1.77	1985.784	NA	-81.7977	18.3751
72_MCR_VonDamm_HOG_ShrimpHole_J21244HOG18_0_Jun2021	ShrimpHole	18.374893, -81.797441	VonDamm	NA	2376	Vent	2020	21	7.72	96.4	51.8	5.52744	NA	218.0268	NA	-81.7974	18.3749
76_MCR_VonDamm_HOG_X18_J21235HOG20_0_Jun2021	X18	18.374810, -81.797411	VonDamm	NA	2377	Vent	2020	48	6.99	52	28	NA	2.11	1310.208	111429.781	-81.7974	18.3748
79_MCR_VonDamm_HOG_Bartizan_J21244HOG12_5_Jun2021	Bartizan	18.798096, -81.377907	VonDamm	NA	2307	Vent	2020	129	5.8	42.2	22.7	9400	1.6	1617.288	16163.441	-81.3779	18.7981
80_MCR_VonDamm_HOG_Rav2_J21244HOG20_0_Jun2021	Rav2	18.375254, -81.797176	VonDamm	NA	2388.9	Vent	2020	98.2	5.81	33.4	18	10200	1.37	1893.66	NA	-81.7972	18.3751
